Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Calculation Time (ms)","Num. States","Move-Model Fitness","Trace Fitness","Pre-processing time (ms)","Move-Log Fitness","Trace Length","Exit code of alignment for trace","Approximate memory used (kb)","Number of LPs solved","Queued States",Match
125,"trace_120",1,Yes,"14.00","51.66","397.00","0.75","0.66","0.06","0.75","28.00","1.00","65.00","11.00","406.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SHRRPC|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
126,"trace_163",1,Yes,"6.00","14.76","208.00","0.91","0.87","0.12","0.91","32.00","1.00","24.00","3.00","208.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[M-REAL]REPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L]MHRRPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRHA|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
127,"trace_169",1,Yes,"3.00","17.03","191.00","0.94","0.93","0.10","0.97","33.00","1.00","24.00","3.00","191.00",[M-REAL]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L]FRPP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
128,"trace_303",1,Yes,"8.00","14.29","192.00","0.90","0.82","0.10","0.84","32.00","1.00","25.00","3.00","193.00",[L/M]SRP|[L/M]SRPP|[L]FHRRP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[M-REAL]SHRRPC|[L/M]AHRRPC|[L]SRP|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
129,"trace_414",1,Yes,"7.00","20.04","242.00","0.93","0.85","0.21","0.85","33.00","1.00","31.00","4.00","243.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L]LRRR|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L]SHRRPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[M-REAL]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
130,"trace_574",1,Yes,"13.00","18.24","241.00","0.79","0.69","0.04","0.76","29.00","1.00","29.00","4.00","244.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[M-REAL]FRPP|[L/M]REPP|[L]SRPP|[L]REPP|[L]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRHA|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
131,"trace_578",1,Yes,"11.00","23.17","167.00","0.80","0.74","0.08","0.83","29.00","1.00","28.00","4.00","170.00",[L/M]SRP|[L]SLRRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[M-REAL]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
132,"trace_586",1,Yes,"12.00","17.75","239.00","0.77","0.71","0.04","0.82","28.00","1.00","29.00","4.00","241.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L]SRP|[L]FRP|[M-REAL]EPP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[M-REAL]AHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
133,"trace_595",1,Yes,"11.00","77.51","285.00","0.92","0.76","0.12","0.73","33.00","1.00","64.00","8.00","290.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[L]REPP|[L]REPP|[L/M]FRPP|[L]REPC|[L]RBPC|[L]SRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]HRRAN|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
134,"trace_667",1,Yes,"4.00","12.12","196.00","0.97","0.91","0.05","0.91","34.00","1.00","25.00","3.00","196.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L]REPC|[M-REAL]RIBPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L]RIBPC|[L/M]FRP
135,"trace_743",1,Yes,"8.00","26.09","277.00","0.90","0.82","0.07","0.84","32.00","1.00","26.00","3.00","277.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L]HRRAN|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L]RHRRPC|[L]SHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[L/M]HRRAN|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
136,"trace_903",1,Yes,"7.00","22.41","178.00","0.88","0.84","0.07","0.90","31.00","1.00","24.00","3.00","179.00",[M-REAL]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[L/M]RBPC|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L]HRRAN|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
137,"trace_1101",1,Yes,"3.00","4.06","125.00","1.00","0.94","0.04","0.91","35.00","1.00","15.00","1.00","125.00",[L]MHRRPC|[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SLRRP|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]HRRAN|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
138,"trace_1107",1,Yes,"7.00","27.61","470.00","0.93","0.85","0.04","0.85","33.00","1.00","51.00","6.00","474.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L]FHRRPC|[L]SHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[M-REAL]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
139,"trace_1376",1,Yes,"11.00","51.13","415.00","0.80","0.74","0.03","0.83","29.00","1.00","65.00","15.00","445.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[L]REPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[M-REAL]REPC|[M-REAL]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[M-REAL]HRRAN|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
140,"trace_1395",1,Yes,"8.00","32.66","361.00","0.96","0.83","0.04","0.79","34.00","1.00","49.00","6.00","362.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RBPC|[L]FLRRP|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L]MHRRPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L/M]HRHA|[L/M]HRRR|[L]SHRRPC|[L/M]FHRRP|[L/M]FRP
141,"trace_1568",1,Yes,"8.00","23.04","261.00","0.90","0.82","0.05","0.84","32.00","1.00","31.00","4.00","263.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L]SRP|[L/M]SHRRP|[L]FRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP|[L]REPP
142,"trace_1573",1,Yes,"15.00","38.55","283.00","0.77","0.64","0.03","0.69","29.00","1.00","44.00","6.00","294.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[L]REPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L]MHRRPC|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRHA|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L]FHRRPC|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
143,"trace_1591",1,Yes,"13.00","60.21","386.00","0.92","0.72","0.06","0.67","33.00","1.00","89.00","10.00","387.00",[L/M]SRP|[L]FRPP|[L]RIBPC|[L]REPC|[L/M]SRPP|[L]REPP|[L]FRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]SRPP|[L]REPP|[L/M]FRPP|[L]REPC|[L]RBPC|[L]RIBPC|[L]SRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[M-REAL]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[M-REAL]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
144,"trace_1698",1,Yes,"11.00","13.00","238.00","0.86","0.75","0.06","0.77","31.00","1.00","25.00","3.00","239.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L]SHRRP|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRRAN|[L]LRRR|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
145,"trace_1788",1,Yes,"10.00","32.75","303.00","0.83","0.77","0.04","0.83","30.00","1.00","45.00","6.00","311.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L]SRPP|[L]SHRRP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[M-REAL]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]HRRAN|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[M-REAL]FRP
146,"trace_1861",1,Yes,"7.00","31.62","330.00","0.93","0.85","0.03","0.85","33.00","1.00","48.00","6.00","334.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L]FRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L]RBPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L]SRP|[L/M]FHRRP|[L/M]FRP
147,"trace_1927",1,Yes,"3.00","12.77","212.00","1.00","0.94","0.04","0.91","35.00","1.00","25.00","3.00","212.00",[L/M]SRP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L]FRPP|[L/M]RBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L]LRIRV|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L]HRHA|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
148,"trace_1984",1,Yes,"7.00","23.19","145.00","0.88","0.84","0.07","0.90","31.00","1.00","29.00","4.00","146.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]REPC|[L/M]RIBPC|[M-REAL]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]HRRAN|[L]MHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[M-REAL]HRRR|[L/M]FHRRP|[L/M]FRP
149,"trace_85",1,Yes,"8.00","13.80","156.00","0.93","0.82","0.10","0.81","32.00","1.00","23.00","3.00","157.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L]REPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]LRERV|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]FHRRPC|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRRAN|[L/M]HRHA|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
150,"trace_180",1,Yes,"11.00","37.26","303.00","0.82","0.74","0.73","0.79","29.00","1.00","44.00","6.00","313.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[L]REPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[M-REAL]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[M-REAL]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRHA|[L/M]HRRAN|[L/M]FHRRPC|[L/M]HRRR|[L]FLRRP|[L/M]FHRRP|[L/M]FRP
151,"trace_227",1,Yes,"17.00","56.83","387.00","0.77","0.60","0.06","0.59","29.00","1.00","67.00","8.00","388.00",[L/M]SRP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L]FRPP|[L]REPC|[L]LRIRV|[L]RBPC|[L/M]SRPP|[L]REPP|[L]FRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]HRRAN|[L/M]FHRRPC|[L]EPP|[L]SLRRP|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
152,"trace_343",1,Yes,"11.00","20.63","209.00","0.77","0.72","0.07","0.85","27.00","1.00","35.00","5.00","213.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RIBPC|[L/M]REPC|[L/M]RBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRRAN|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]HRHA|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[M-REAL]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L]EPP|[L]SLRRP|[M-REAL]FHRRPC|[M-REAL]HRRR|[M-REAL]FHRRP|[M-REAL]FRP
153,"trace_423",1,Yes,"11.00","39.64","328.00","0.82","0.74","0.06","0.79","29.00","1.00","54.00","7.00","342.00",[L/M]SRP|[L]FRPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L]SRPP|[L]RIBPC|[M-REAL]FRPP|[L/M]REPP|[L]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L]FRPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L]SRPP|[M-REAL]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]HRHA|[L/M]HRRAN|[M-REAL]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
154,"trace_465",1,Yes,"3.00","8.08","136.00","0.97","0.93","0.05","0.94","33.00","1.00","18.00","2.00","136.00",[L/M]SRP|[L/M]SRPP|[L]RHRRPC|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L/M]SHRRP|[L/M]SHRRPC|[L/M]HRHA|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L]HRRR|[M-REAL]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
155,"trace_471",1,Yes,"6.00","15.51","221.00","0.88","0.86","0.04","0.93","30.00","1.00","24.00","3.00","222.00",[L/M]SRP|[L/M]SRPP|[L/M]REPC|[L/M]RBPC|[L/M]RIBPC|[L/M]FRPP|[L/M]REPP|[M-REAL]SRPP|[L/M]REPC|[L/M]RBPC|[M-REAL]RIBPC|[L/M]FRPP|[L/M]REPP|[M-REAL]SRPP|[L/M]RBPC|[L/M]REPC|[L/M]RIBPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]HRRAN|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
156,"trace_671",1,Yes,"7.00","22.07","189.00","0.90","0.84","0.03","0.87","31.00","1.00","24.00","3.00","190.00",[L/M]SRP|[M-REAL]SRPP|[L/M]RIBPC|[L/M]RBPC|[L/M]REPC|[L/M]FRPP|[L]REPP|[L/M]REPP|[L/M]SRPP|[L/M]RBPC|[L/M]RIBPC|[L/M]REPC|[L/M]FRPP|[L/M]EPP|[L]SRP|[L]FRP|[M-REAL]SHRRP|[L/M]HRHA|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]HRRAN|[L]SRP|[M-REAL]RHRRPC|[L/M]SHRRPC|[L/M]AHRRPC|[L/M]FHRRPC|[L/M]RHRRPC|[L/M]SHRRPC|[L/M]MHRRPC|[L/M]FHRRPC|[L/M]HRRR|[L/M]FHRRP|[L/M]FRP
